PM1,PM2,PM3,PM4,SC1,SC2,SC3,SC4,SC5,SC6,CU1,CU2,CU3,CU4,TR1,TR2,TR3,TR4,CV1,CV2,CV3,CV4,PM5,GENDER,AGE,EDU,JOB,WORK_AI,AI_FAM
6.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,2,24,7.0,0,7.0,0.0,2.0,2.0,1.0,1.0,3.0
6.0,6.0,6.0,6.0,3.0,3.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,2,5,7.0,0,7.0,0.0,2.0,2.0,1.0,1.0,2.0
5.0,5.0,4.0,4.0,4.0,6.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2,3,5.0,0,4.0,0.0,2.0,1.0,1.0,1.0,2.0
7.0,7.0,7.0,7.0,2.0,2.0,2.0,7.0,7.0,7.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2,4,7.0,0,7.0,0.0,2.0,2.0,1.0,1.0,2.0
2.0,5.0,2.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,3.0,6.0,5.0,2.0,2,6,7.0,0,4.0,0.0,3.0,2.0,1.0,1.0,2.0
5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,3,12,6.0,1,5.0,0.0,2.0,2.0,1.0,1.0,2.0
6.0,6.0,2.0,1.0,6.0,7.0,7.0,5.0,7.0,7.0,4.0,4.0,2.0,1.0,6.0,6.0,6.0,6.0,1,24,7.0,0,5.0,0.0,3.0,2.0,1.0,1.0,4.0
6.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,6.0,6.0,4.0,3.0,5.0,3.0,6.0,6.0,5.0,5.0,3,24,7.0,1,7.0,0.0,3.0,1.0,1.0,1.0,3.0
5.0,5.0,2.0,3.0,5.0,5.0,5.0,6.0,7.0,7.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,2,4,6.0,0,3.0,0.0,2.0,1.0,1.0,1.0,2.0
7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,3.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,2,6,2.0,1,7.0,0.0,3.0,2.0,1.0,1.0,2.0
2.0,4.0,2.0,4.0,6.0,5.0,4.0,4.0,7.0,4.0,3.0,2.0,4.0,3.0,5.0,6.0,6.0,2.0,1,24,4.0,0,4.0,0.0,1.0,1.0,1.0,1.0,2.0
3.0,4.0,1.0,2.0,6.0,4.0,4.0,7.0,7.0,7.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,2,3,4.0,1,3.0,1.0,2.0,2.0,1.0,1.0,3.0
4.0,5.0,3.0,3.0,5.0,4.0,5.0,6.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2,24,5.0,0,4.0,0.0,1.0,1.0,4.0,1.0,2.0
7.0,5.0,6.0,6.0,6.0,6.0,5.0,2.0,4.0,4.0,6.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,2,6,6.0,0,6.0,0.0,3.0,2.0,1.0,1.0,3.0
4.0,6.0,2.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,1,6,2.0,0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
